duration,total_packets,total_bytes,packet_rate,avg_interarrival_time,syn_count,ack_count,rst_count,fin_count,unique_dst_ports,connection_success_rate,bytes_per_second,label
3.0018,4,848,1.3325,1.0006,0,0,0,0,0,0.0,282.4994,
3.0033,4,848,1.3319,1.0011,0,0,0,0,0,0.0,282.3593,
3.0024,4,848,1.3323,1.0008,0,0,0,0,0,0.0,282.4425,
3.0014,4,848,1.3327,1.0005,0,0,0,0,0,0.0,282.5306,
3.0021,4,848,1.3324,1.0007,0,0,0,0,0,0.0,282.4672,
3.0026,4,848,1.3322,1.0009,0,0,0,0,0,0.0,282.4211,
3.0033,4,848,1.3319,1.0011,0,0,0,0,0,0.0,282.3564,
3.0039,4,848,1.3316,1.0013,0,0,0,0,0,0.0,282.2984,
3.0045,4,848,1.3313,1.0015,0,0,0,0,0,0.0,282.2412,
3.0015,4,848,1.3327,1.0005,0,0,0,0,0,0.0,282.5246,
3.0022,4,848,1.3324,1.0007,0,0,0,0,0,0.0,282.4601,
3.0024,4,848,1.3322,1.0008,0,0,0,0,0,0.0,282.4368,
3.0029,4,848,1.3320,1.0010,0,0,0,0,0,0.0,282.3927,
3.0034,4,848,1.3318,1.0011,0,0,0,0,0,0.0,282.3425,
3.0040,4,848,1.3315,1.0013,0,0,0,0,0,0.0,282.2879,
3.0011,4,848,1.3329,1.0004,0,0,0,0,0,0.0,282.5649,
3.0020,4,848,1.3325,1.0007,0,0,0,0,0,0.0,282.4810,
3.0033,4,848,1.3319,1.0011,0,0,0,0,0,0.0,282.3532,
3.0025,4,848,1.3322,1.0008,0,0,0,0,0,0.0,282.4279,
3.0035,4,848,1.3318,1.0012,0,0,0,0,0,0.0,282.3354,
3.0022,4,848,1.3323,1.0007,0,0,0,0,0,0.0,282.4574,
3.0027,4,848,1.3321,1.0009,0,0,0,0,0,0.0,282.4116,
3.0012,4,848,1.3328,1.0004,0,0,0,0,0,0.0,282.5552,
3.0040,4,848,1.3316,1.0013,0,0,0,0,0,0.0,282.2909,
3.0026,4,848,1.3322,1.0009,0,0,0,0,0,0.0,282.4262,
3.0009,4,848,1.3329,1.0003,0,0,0,0,0,0.0,282.5799,
3.0018,4,848,1.3325,1.0006,0,0,0,0,0,0.0,282.4970,
3.0031,4,848,1.3320,1.0010,0,0,0,0,0,0.0,282.3736,
3.0031,4,848,1.3320,1.0010,0,0,0,0,0,0.0,282.3768,
3.0028,4,848,1.3321,1.0009,0,0,0,0,0,0.0,282.3994,
